Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
League Averages,,,,,,,,,,114.3,,54.4%,,14.5%,,28.0%,,19.1,,114.3,,54.4%,,14.5%,,28.0%,,19.1
NYK,Jalen Brunson,Josh Hart,Mikal Bridges,OG Anunoby,Karl-Anthony Towns,1639,54,+5.9,66,120.2,56,57.4%,65,12.9%,52,26.5%,54,18.6,45,114.3,33,55.9%,45,13.7%,53,26.8%,73,13.7
MIN,Mike Conley,Anthony Edwards,Jaden McDaniels,Julius Randle,Rudy Gobert,1057,48,+2.1,38,113.2,51,56.5%,25,16.6%,45,25.5%,46,17.5,59,111.1,41,55.3%,47,13.9%,57,26.1%,85,11.3
SAC,De'Aaron Fox,Malik Monk,DeMar DeRozan,Keegan Murray,Domantas Sabonis,909,46,+1.2,55,117.7,31,54.2%,81,11.2%,46,25.5%,58,19.4,35,116.5,22,57.6%,69,15.6%,60,25.6%,22,20.9
HOU,Fred VanVleet,Jalen Green,Dillon Brooks,Jabari Smith Jr.,Alperen Sengun,857,61,+8.4,33,112.0,10,49.6%,70,12.4%,74,31.3%,59,19.5,78,103.6,65,52.5%,54,14.4%,65,24.8%,66,14.4
IND,Tyrese Haliburton,Andrew Nembhard,Bennedict Mathurin,Pascal Siakam,Myles Turner,833,72,+12.2,51,116.6,62,57.9%,67,12.6%,22,20.9%,59,19.5,77,104.4,67,52.3%,50,14.0%,82,21.9%,69,14.2
MIL,Damian Lillard,Andre Jackson Jr.,Taurean Prince,Giannis Antetokounmpo,Brook Lopez,653,35,-2.2,30,110.9,54,57.1%,39,14.9%,34,23.6%,22,14.3,52,113.0,32,56.0%,38,13.0%,76,22.6%,57,15.8
ATL,Trae Young,Dyson Daniels,Zaccharie Risacher,Jalen Johnson,Clint Capela,623,44,+0.2,31,111.7,44,55.6%,37,14.9%,73,30.8%,16,13.0,57,111.5,29,56.6%,57,14.7%,58,25.8%,76,13.5
LAC,James Harden,Kris Dunn,Norman Powell,Derrick Jones Jr.,Ivica Zubac,600,67,+10.3,44,114.8,52,56.6%,49,14.2%,49,25.8%,53,18.5,76,104.5,60,53.0%,93,18.9%,47,27.5%,62,14.9
DET,Cade Cunningham,Ausar Thompson,Tim Hardaway Jr.,Tobias Harris,Jalen Duren,600,58,+7.0,61,118.8,57,57.4%,29,16.0%,87,34.8%,36,16.3,56,111.9,32,56.0%,66,15.4%,75,22.9%,35,18.9
BOS,Jrue Holiday,Derrick White,Jaylen Brown,Jayson Tatum,Kristaps Porzingis,591,30,-4.0,31,111.5,28,53.6%,79,11.3%,21,20.9%,37,16.4,39,115.5,42,55.0%,39,13.1%,51,27.0%,43,17.9
OKC,Shai Gilgeous-Alexander,Cason Wallace,Luguentz Dort,Jalen Williams,Isaiah Hartenstein,554,78,+15.2,53,117.0,45,55.8%,84,11.0%,54,27.0%,48,18.0,84,101.8,77,50.8%,90,18.2%,44,27.9%,33,19.1
DEN,Jamal Murray,Christian Braun,Michael Porter,Aaron Gordon,Nikola Jokic,553,76,+14.0,81,126.9,77,60.4%,65,12.8%,57,27.5%,75,22.0,52,113.0,48,54.6%,33,12.6%,51,27.1%,68,14.2
CHI,Josh Giddey,Coby White,Zach LaVine,Patrick Williams,Nikola Vucevic,552,32,-3.4,23,108.9,41,55.3%,39,14.7%,27,22.9%,24,14.6,56,112.3,44,54.9%,15,10.8%,80,22.3%,84,11.7
DET,Cade Cunningham,Jaden Ivey,Tim Hardaway Jr.,Tobias Harris,Jalen Duren,530,33,-3.1,64,119.6,73,59.8%,31,15.7%,82,33.2%,30,15.3,14,122.7,10,60.4%,22,11.7%,70,23.8%,60,15.5
DEN,Russell Westbrook,Jamal Murray,Christian Braun,Michael Porter,Nikola Jokic,519,55,+5.9,84,128.3,83,61.4%,76,11.8%,65,29.5%,44,17.2,16,122.5,16,59.1%,20,11.1%,46,27.6%,92,9.8
POR,Anfernee Simons,Toumani Camara,Deni Avdija,Jerami Grant,Deandre Ayton,513,13,-14.1,9,102.9,5,47.9%,51,14.0%,62,28.4%,41,16.9,31,117.1,27,56.9%,48,14.0%,32,29.6%,36,18.6
WAS,Jordan Poole,Carlton Carrington,Bilal Coulibaly,Kyle Kuzma,Alexandre Sarr,464,1,-33.5,1,87.3,1,44.4%,44,14.4%,11,18.2%,10,11.1,21,120.8,17,58.9%,44,13.5%,53,26.7%,40,18.4
NOP,Dejounte Murray,CJ McCollum,Trey Murphy III,Herbert Jones,Yves Missi,460,22,-7.2,43,114.6,40,55.3%,28,16.1%,69,30.0%,56,18.9,16,121.8,17,59.0%,60,14.9%,25,30.7%,18,22.0
BOS,Jrue Holiday,Derrick White,Jaylen Brown,Jayson Tatum,Al Horford,451,82,+19.8,70,122.2,81,61.0%,83,11.1%,14,19.0%,34,16.0,82,102.4,82,48.8%,30,12.3%,65,24.8%,70,14.0
LAL,Austin Reaves,Max Christie,Rui Hachimura,LeBron James,Anthony Davis,425,45,+0.8,22,108.7,37,55.0%,30,15.8%,43,25.3%,56,19.0,68,107.9,55,54.1%,51,14.0%,83,21.7%,86,11.1
HOU,Fred VanVleet,Jalen Green,Amen Thompson,Dillon Brooks,Alperen Sengun,422,24,-6.3,46,115.4,20,52.0%,62,13.0%,54,26.9%,69,20.7,17,121.7,14,59.7%,81,16.8%,5,35.3%,41,18.1
CLE,Darius Garland,Donovan Mitchell,Dean Wade,Evan Mobley,Jarrett Allen,421,53,+5.1,56,117.8,70,59.2%,77,11.6%,29,23.2%,21,13.9,53,112.7,48,54.6%,48,13.9%,34,29.1%,68,14.2
UTA,Keyonte George,Collin Sexton,Lauri Markkanen,John Collins,Walker Kessler,399,65,+9.2,79,126.3,81,61.1%,10,18.5%,97,40.7%,72,21.4,31,117.2,31,56.1%,3,8.5%,91,20.0%,57,15.7
